Rk,Winner,WinnerPoints,Loser,LoserPoints
721,(14) Michigan,28,Penn State,16
722,(9) Michigan State,17,(2) Ohio State,14
723,Middle Tennessee State,41,North Texas,7
724,Minnesota,32,Illinois,23
725,(25) Mississippi,38,(17) Louisiana State,17
726,Mississippi State,51,Arkansas,50
727,(19) Navy,44,Tulsa,21
728,New Mexico State,37,Louisiana-Lafayette,34
729,(12) North Carolina,30,Virginia Tech,27
730,North Carolina State,42,Syracuse,29
731,(20) Northwestern,13,(21) Wisconsin,7
732,(5) Notre Dame,19,Boston College,16
733,(7) Oklahoma,30,(11) Texas Christian,29
734,(23) Oregon,48,(22) Southern California,28
735,Pittsburgh,45,Louisville,34
736,Rutgers,31,Army,21
737,San Diego State,52,Nevada-Las Vegas,14
738,San Jose State,42,Hawaii,23
739,Southern Methodist,49,Tulane,21
740,Southern Mississippi,56,Old Dominion,31
741,(15) Stanford,35,California,22
742,Temple,31,Memphis,12
743,Tennessee,19,Missouri,8
744,Texas A&M,25,Vanderbilt,0
745,Texas-San Antonio,34,Rice,24
746,UCLA,17,(18) Utah,9
747,Utah State,31,Nevada,27
748,Virginia,42,Duke,34
749,Washington,52,Oregon State,7
750,(24) Washington State,27,Colorado,3
751,West Virginia,49,Kansas,0
752,Western Kentucky,63,Florida International,7
753,Bowling Green State,48,Ball State,10
754,Ohio,26,Northern Illinois,21
755,Texas Tech,48,Texas,45
756,Akron,20,Kent State,0
757,Arkansas,28,Missouri,3
758,Boise State,40,San Jose State,23
759,Central Michigan,35,Eastern Michigan,28
760,Georgia State,31,Troy,21
761,(21) Houston,52,(16) Navy,31
762,(3) Iowa,28,Nebraska,20
763,Massachusetts,31,Buffalo,26
764,Miami (FL),29,Pittsburgh,24
765,(18) Oregon,52,Oregon State,42
766,South Florida,44,Central Florida,3
767,(15) Texas Christian,28,(7) Baylor,21
768,Tulsa,45,Tulane,34
769,Washington,45,(20) Washington State,10
770,Western Kentucky,49,Marshall,28
771,Western Michigan,35,(24) Toledo,30
772,(2) Alabama,29,Auburn,13
773,Appalachian State,28,Louisiana-Lafayette,7
774,Arkansas State,52,New Mexico State,28
775,Brigham Young,51,Utah State,28
776,California,48,Arizona State,46
777,Cincinnati,19,East Carolina,16
778,(1) Clemson,37,South Carolina,32
779,Colorado State,34,Fresno State,31
780,Duke,27,Wake Forest,21
781,Florida Atlantic,33,Old Dominion,31
782,(14) Florida State,27,(10) Florida,2
783,Georgia,13,Georgia Tech,7
784,Georgia Southern,55,South Alabama,17
785,Hawaii,28,Louisiana-Monroe,26
786,Idaho,38,Texas State,31
787,Indiana,54,Purdue,36
788,Kansas State,45,Kansas,14
789,Louisiana State,19,Texas A&M,7
790,Louisville,38,Kentucky,24
791,Maryland,46,Rutgers,41
792,Memphis,63,Southern Methodist,0
793,(6) Michigan State,55,Penn State,16
794,Middle Tennessee State,42,Texas-San Antonio,7
795,(19) Mississippi,38,(23) Mississippi State,27
796,New Mexico,47,Air Force,35
797,(11) North Carolina,45,North Carolina State,34
798,(17) Northwestern,24,Illinois,14
799,(8) Ohio State,42,(12) Michigan,13
800,(5) Oklahoma,58,(9) Oklahoma State,23
801,Rice,27,Charlotte,7
802,San Diego State,31,Nevada,14
803,Southern California,40,(22) UCLA,21
804,Southern Mississippi,58,Louisiana Tech,24
805,(13) Stanford,38,(4) Notre Dame,36
806,Syracuse,20,Boston College,17
807,(25) Temple,27,Connecticut,3
808,Tennessee,53,Vanderbilt,28
809,Texas-El Paso,20,North Texas,17
810,Utah,20,Colorado,14
811,Virginia Tech,23,Virginia,20
812,West Virginia,30,Iowa State,6
813,Wisconsin,31,Minnesota,21
814,Wyoming,35,Nevada-Las Vegas,28
