Rk,Winner,WinnerPoints,Loser,LoserPoints
175,Florida,14,Kentucky,9
176,Florida International,39,North Carolina Central,14
177,Furman,16,Central Florida,15
178,(7) Georgia,52,South Carolina,20
179,Georgia Southern,48,Citadel,13
180,Hawaii,47,California-Davis,27
181,Idaho,41,Wofford,38
182,Indiana,38,Western Kentucky,35
183,Iowa,27,Pittsburgh,24
184,Kansas State,39,Louisiana Tech,33
185,(13) Louisiana State,45,(18) Auburn,21
186,Marshall,45,Norfolk State,7
187,Maryland,35,South Florida,17
188,Memphis,44,Bowling Green State,41
189,Miami (FL),36,Nebraska,33
190,Michigan,28,Nevada-Las Vegas,7
191,(4) Michigan State,35,Air Force,21
192,Middle Tennessee State,73,Charlotte,14
193,Minnesota,10,Kent State,7
194,(15) Mississippi,43,(2) Alabama,37
195,Mississippi State,62,Northwestern State,13
196,(22) Missouri,9,Connecticut,6
197,Navy,45,East Carolina,21
198,North Carolina,48,Illinois,14
199,North Carolina State,38,Old Dominion,14
200,(23) Northwestern,19,Duke,10
201,(8) Notre Dame,30,(14) Georgia Tech,22
202,Ohio,35,Southeastern Louisiana,14
203,(1) Ohio State,20,Northern Illinois,13
204,(16) Oklahoma,52,Tulsa,38
205,(25) Oklahoma State,69,Texas-San Antonio,14
206,(12) Oregon,61,Georgia State,28
207,Oregon State,35,San Jose State,21
208,Penn State,28,Rutgers,3
209,Rice,38,North Texas,24
210,South Alabama,34,San Diego State,27
211,Southern Mississippi,56,Texas State,50
212,Stanford,41,(6) Southern California,31
213,Syracuse,30,Central Michigan,27
214,Temple,25,Massachusetts,23
215,Tennessee,55,Western Carolina,10
216,(17) Texas A&M,44,Nevada,27
217,(3) Texas Christian,56,Southern Methodist,37
218,Texas Tech,35,Arkansas,24
219,Texas-El Paso,50,New Mexico State,47
220,Toledo,30,Iowa State,23
221,Tulane,38,Maine,7
222,(10) UCLA,24,(19) Brigham Young,23
223,(21) Utah,45,Fresno State,24
224,Vanderbilt,47,Austin Peay,7
225,Virginia,35,William & Mary,29
226,Virginia Tech,51,Purdue,24
227,Wake Forest,17,Army,14
228,Washington,31,Utah State,17
229,Washington State,31,Wyoming,14
230,Western Michigan,52,Murray State,20
231,(24) Wisconsin,28,Troy,3
232,Memphis,53,Cincinnati,46
233,Boise State,56,Virginia,14
234,(21) Stanford,42,Oregon State,24
235,Akron,35,Louisiana-Lafayette,14
236,(12) Alabama,34,Louisiana-Monroe,0
237,Appalachian State,49,Old Dominion,0
238,Army,58,Eastern Michigan,36
239,(5) Baylor,70,Rice,17
240,Boston College,17,Northern Illinois,14
241,Bowling Green State,35,Purdue,28
242,California,30,Washington,24
243,Colorado,48,Nicholls State,0
244,Colorado State,33,Texas-San Antonio,31
245,Duke,34,(20) Georgia Tech,20
246,East Carolina,35,Virginia Tech,28
247,Florida,28,Tennessee,27
248,Florida Atlantic,17,Charlotte,7
249,(7) Georgia,48,Southern,6
250,Georgia Southern,44,Idaho,20
251,Houston,59,Texas State,14
252,Illinois,27,Middle Tennessee State,25
253,Indiana,31,Wake Forest,24
254,Iowa,62,North Texas,16
255,James Madison,48,Southern Methodist,45
256,Kentucky,21,(25) Missouri,13
257,(8) Louisiana State,34,Syracuse,24
258,Louisiana Tech,27,Florida International,17
259,Louisville,45,Samford,3
260,Marshall,36,Kent State,29
261,Michigan,31,(22) Brigham Young,0
262,(2) Michigan State,30,Central Michigan,10
263,Minnesota,27,Ohio,24
264,(3) Mississippi,27,Vanderbilt,16
265,Mississippi State,17,Auburn,9
266,Navy,28,Connecticut,18
267,Nebraska,36,Southern Mississippi,28
268,Nevada,24,Buffalo,21
269,Nevada-Las Vegas,80,Idaho State,8
270,New Mexico,38,Wyoming,28
271,North Carolina,41,Delaware,14
272,North Carolina State,63,South Alabama,13
273,(17) Northwestern,24,Ball State,19
274,(6) Notre Dame,62,Massachusetts,27
275,(1) Ohio State,38,Western Michigan,12
276,(24) Oklahoma State,30,Texas,27
277,Penn State,37,San Diego State,21
278,Rutgers,27,Kansas,14
279,San Jose State,49,Fresno State,23
280,South Carolina,31,Central Florida,14
281,(19) Southern California,42,Arizona State,14
282,(14) Texas A&M,28,Arkansas,21
283,(3) Texas Christian,55,Texas Tech,52
284,Texas-El Paso,27,Incarnate Word,17
285,Toledo,37,Arkansas State,7
286,(9) UCLA,56,(16) Arizona,30
287,(18) Utah,62,(13) Oregon,20
288,West Virginia,45,Maryland,6
289,Western Kentucky,56,Miami (OH),14
290,(22) Wisconsin,28,Hawaii,0
291,Cincinnati,34,Miami (FL),23
292,Brigham Young,30,Connecticut,13
293,Memphis,24,South Florida,17
294,Temple,37,Charlotte,3
295,(13) Alabama,38,(8) Georgia,10
